TIPO DE PRODUTO;LADO;Temperatura Massa (oC);Peso Cru (g);Peso Assado (g);ESPESSURA (mm);"COMPRIMENTO
(mm)";"LARGURA
(mm)"
ADRIA;RUN11;32,5;57,9;49,8;85,6;40;39,9
ADRIA;RUN11;31,9;56,8;49,2;86;40,6;40
AMORI;RUN21;32,3;51,6;43,9;85,4;38,9;39,4
ADRIA;RUN21;30,9;57,3;48,7;84,5;39,2;39,4
AMORI;RUN29;32,3;52,8;45,3;82,7;39,9;40
ADRIA;RUN29;32,4;57,6;49,4;85,4;40,3;40,2
AMORI;RUN30;30,2;51,3;44,7;83,1;40,1;40,1
ADRIA;RUN30;31,9;56,8;49,3;85,2;39,8;39,7
AMORI;RUN31;30,2;51,9;44,3;84,9;39,9;39,8
ADRIA;RUN31;31,9;55,5;47,5;85,5;39,7;39,6
AMORI;RUN32;30,2;52,7;45,2;84,6;39,3;39,5
ADRIA;RUN32;31,9;57,1;48,8;83,3;40,3;39,9
AMORI;RUN33;32,3;51,5;44,7;85,8;39,2;39,2
ADRIA;RUN33;32,1;56,7;48,3;85,1;39,9;39,9
AMORI;RUN34;32,3;52,2;44,8;84,5;39,4;39,5
ADRIA;RUN34;32,1;56,3;47,6;84,5;39,8;39,7
AMORI;RUN35;32,3;52,5;45,1;84,5;39,3;39,5
ADRIA;RUN35;32,1;57,5;48,9;85,1;40,1;39,7
AMORI;RUN36;32,6;51,5;44,1;85,1;39,1;39,3
ADRIA;RUN36;33,6;57,3;49,2;85,1;39,9;39,5
AMORI;RUN37;32,6;51,9;44,9;83,7;39,5;39,6
AMORI;RUN37;32,6;52,7;45,4;86,3;39,9;39,9
AMORI;RUN41;32,6;57,2;48,7;86,6;40,1;39,9
AMORI;RUN41;31,7;51,9;44,3;85,3;40,1;39,8
AMORI;RUN42;32,3;54,4;46,3;83,7;39,7;39,4
AMORI;RUN42;31,7;52,2;44,7;85,5;40,3;40,1
AMORI;RUN43;32,3;57,3;48,7;87,4;40,5;39,9
AMORI;RUN43;31,5;52,5;45,3;86,8;39,2;39,6
AMORI;RUN44;32,3;57;48,6;87,7;40,1;39,8
AMORI;RUN44;31,5;52;44,1;86,2;39,9;39,6
AMORI;RUN45;32;54,3;46;83,9;39,8;39,8
AMORI;RUN45;31,5;52,3;44,8;86,5;39,9;39,7
AMORI;RUN46;32;57;48,5;87,2;40,4;40
ADRIA;RUN46;33,6;55,7;46,8;82,7;39,5;39,3
AMORI;RUN47;32;56,9;48,3;86,7;40,5;40,1
ADRIA;RUN47;33,6;57,4;49,4;84,8;39,7;39,7
AMORI;RUN48;32,5;54,1;46,5;84,6;40;39,8
ADRIA;RUN48;33,5;57;49;86,2;39,9;39,9
AMORI;RUN49;32,5;56,8;48,6;87,2;40,1;40
ADRIA;RUN49;33,5;54,8;46,6;84,8;39,7;39,7
AMORI;RUN50;32,5;56,7;48,8;87,2;40;39,8
ADRIA;RUN50;33,5;57;49,3;86,7;39,6;39,8
AMORI;RUN51;32,6;54,6;47,4;85,4;40;39,5
ADRIA;RUN51;33;56,9;48,2;84,9;39,9;39,7
AMORI;RUN52;32,6;57,2;49,2;87,9;40,2;39,9
ADRIA;RUN52;33;54,8;47;84,7;39,7;39,5
